,Game Name,Date Purchased,Physical,Digital,Platform,Account,Inactive,On Hold,Active,Reviewed,Links
122,,,False,False,,,False,False,False,False,
123,,,False,False,,,False,False,False,False,
124,,,False,False,,,False,False,False,False,
125,,,False,False,,,False,False,False,False,
126,,,False,False,,,False,False,False,False,
127,,,False,False,,,False,False,False,False,
128,,,False,False,,,False,False,False,False,
129,,,False,False,,,False,False,False,False,
130,,,False,False,,,False,False,False,False,
131,,,False,False,,,False,False,False,False,
132,,,False,False,,,False,False,False,False,
133,,,False,False,,,False,False,False,False,
134,,,False,False,,,False,False,False,False,
135,,,False,False,,,False,False,False,False,
136,,,False,False,,,False,False,False,False,
137,,,False,False,,,False,False,False,False,
138,,,False,False,,,False,False,False,False,
139,,,False,False,,,False,False,False,False,
140,,,False,False,,,False,False,False,False,
141,,,False,False,,,False,False,False,False,
142,,,False,False,,,False,False,False,False,
143,,,False,False,,,False,False,False,False,
144,,,False,False,,,False,False,False,False,
145,,,False,False,,,False,False,False,False,
146,,,False,False,,,False,False,False,False,
